translationable_id,text,translationable_type,lang,source
1,Presentación de informes,App\Value,es,Reporting
2,Como individuo,App\Value,es,As an individual
3,En nombre de una organización,App\Value,es,On behalf of an organisation
4,Otros,App\Value,es,Other
5,Tipo de acción,App\Value,es,Type of Action
6,"LEGISLACIÓN, NORMAS, REGLAS: por ejemplo, acordar nuevas reglas o normas o modificar las ya existentes, que otros deberían hacer cumplir mediante nuevas regulaciones, acuerdos, políticas, instrumentos económicos, etc., incluidos compromisos de carácter voluntario.",App\Value,es,"LEGISLATION, STANDARDS, RULES: e.g. agreeing new or changing rules or standards that others should comply with, new regulation, agreements, policies, economic instruments etc. including voluntary commitments."
7,"TRABAJAR CON LAS PERSONAS: Alentar o capacitar a otros (por ejemplo, mediante la educación, capacitación, comunicación, concienciación y programas orientados al cambio de comportamiento)",App\Value,es,"WORKING WITH PEOPLE: Encouraging or enabling others (e.g., education, training, communication, awareness raising, behaviour change programmes"
8,"TECNOLOGÍA Y PROCESOS: nuevos avances técnicos/innovación (por ejemplo, investigación y desarrollo, diseño de nuevos productos, nuevos materiales, procesos, etc.), cambios en la práctica, operaciones, gestión y planificación medioambientales.",App\Value,es,"TECHNOLOGY and PROCESSES: New technical developments/innovation (e.g., research and development, new product design, new materials, processes etc.) changes in practice, operations, environmental management and planning."
9,"VIGILANCIA Y ANÁLISIS: ¿Recoger pruebas acerca de los vertidos de plástico en los océanos/vías fluviales? (Por ejemplo, vigilancia, análisis)",App\Value,es,"MONITORING and ANALYSIS: Collecting evidence around plastic discharge to the ocean/waterways? (e.g. monitoring, analysis)"
10,Acuerdos oficiales,App\Value,es,Official agreements
11,Cambios normativos o elaboración de políticas,App\Value,es,Policy change or development
12,Estrategia de alto nivel,App\Value,es,High-level strategy
13,Legislación o reglamentos,App\Value,es,Legislation or regulations
14,Compromisos de carácter voluntario,App\Value,es,Voluntary commitments
15,Nuevas normas o directrices,App\Value,es,New standard(s) or guideline(s)
16,Cambio en los impuestos/subsidios,App\Value,es,Change in Taxes/Subsidies
17,Subsidios/incentivos financieros,App\Value,es,Subsidy/financial incentives
18,Prohibiciones,App\Value,es,Ban(s)
19,"Paquete de medidas que combinan incentivos e infraestructura (por ejemplo, planes de recompensa en relación con los depósitos)",App\Value,es,Package of measures combining incentives and infrastructure (e.g. deposit reward schemes)
20,Otros,App\Value,es,Other
21,Sensibilización y cambio de comportamiento,App\Value,es,Awareness raising and Behaviour change
22,Educación/formación,App\Value,es,Education/Training
23,Talleres,App\Value,es,Workshops
24,Conferencias,App\Value,es,Conferences
25,Otros,App\Value,es,Other
26,Campaña de información,App\Value,es,Information campaign
27,Campaña/programa orientado al cambio de comportamiento,App\Value,es,Behaviour change campaign/programme
28,Implicación comunitaria,App\Value,es,Community Engagement
29,Participación de los interesados,App\Value,es,Stakeholder Engagement
30,Ciencia ciudadana,App\Value,es,Citizen Science
