translationable_id,text,translationable_type,lang,source
1,Представление отчетности,App\Value,ru,Reporting
2,В качестве физического лица,App\Value,ru,As an individual
3,От имени организации,App\Value,ru,On behalf of an organisation
4,Прочее,App\Value,ru,Other
5,Вид деятельности,App\Value,ru,Type of Action
6,"ЗАКОНОДАТЕЛЬСТВО, СТАНДАРТЫ, ПРАВИЛА: например, согласование новых или изменяющихся правил или стандартов, которые должны соблюдаться другими, новое регулирование, соглашения, политика, экономические инструменты и т.д., включая добровольные обязательства.",App\Value,ru,"LEGISLATION, STANDARDS, RULES: e.g. agreeing new or changing rules or standards that others should comply with, new regulation, agreements, policies, economic instruments etc. including voluntary commitments."
7,"РАБОТА С ЛЮДЬМИ: поощрение других людей или предоставление им возможностей (например, образование, профессиональная подготовка, коммуникация, повышение осведомленности, программы по изменению поведения).",App\Value,ru,"WORKING WITH PEOPLE: Encouraging or enabling others (e.g., education, training, communication, awareness raising, behaviour change programmes"
8,"ТЕХНОЛОГИЯ и ПРОЦЕССЫ: новые технические разработки/инновации (например, исследования и разработки, новая конструкция изделий, новые материалы, процессы и т.д.), изменения в практике, операционной деятельности, управлении и планировании в области охраны окружающей среды.",App\Value,ru,"TECHNOLOGY and PROCESSES: New technical developments/innovation (e.g., research and development, new product design, new materials, processes etc.) changes in practice, operations, environmental management and planning."
9,"МОНИТОРИНГ И АНАЛИЗ: сбор фактических данных о сбросах  
 пластмасс в океан/водные пути (например, мониторинг, анализ).",App\Value,ru,"MONITORING and ANALYSIS: Collecting evidence around plastic discharge to the ocean/waterways? (e.g. monitoring, analysis)"
10,Официальные соглашения,App\Value,ru,Official agreements
11,Изменение или разработка политики,App\Value,ru,Policy change or development
12,Стратегия высокого уровня,App\Value,ru,High-level strategy
13,Законодательство или регулирование,App\Value,ru,Legislation or regulations
14,Добровольные обязательства,App\Value,ru,Voluntary commitments
15,Новый(ые) стандарт(ы) или руководство(а),App\Value,ru,New standard(s) or guideline(s)
16,Изменение в налогообложении/субсидии,App\Value,ru,Change in Taxes/Subsidies
17,Субсидирование/финансовые стимулы,App\Value,ru,Subsidy/financial incentives
18,Запрет(ы),App\Value,ru,Ban(s)
19,"Набор мер, сочетающих стимулы и инфраструктуру (например, схемы поощрения вкладов)",App\Value,ru,Package of measures combining incentives and infrastructure (e.g. deposit reward schemes)
20,Прочее,App\Value,ru,Other
21,Повышение осведомленности и изменение поведения,App\Value,ru,Awareness raising and Behaviour change
22,Образование/профессиональная подготовка,App\Value,ru,Education/Training
23,Семинары-практикумы,App\Value,ru,Workshops
24,Конференции,App\Value,ru,Conferences
25,Прочее,App\Value,ru,Other
26,Информационная кампания,App\Value,ru,Information campaign
27,Кампания/программа по изменению поведения,App\Value,ru,Behaviour change campaign/programme
28,Налаживание взаимодействия с общинами,App\Value,ru,Community Engagement
29,Привлечение заинтересованных сторон,App\Value,ru,Stakeholder Engagement
30,Гражданская наука,App\Value,ru,Citizen Science
31,"Творческое/художественное мероприятие, выставка",App\Value,ru,Creative/arts event; exhibition
32,Прочее,App\Value,ru,Other
33,Разработка учебных программ,App\Value,ru,Curriculum development
34,Обучение профессиональным навыкам,App\Value,ru,Professional skills training
35,Другие программы обучения,App\Value,ru,Other training programmes
36,Обучение на протяжении всей жизни,App\Value,ru,Life-long learning
37,Институциональное развитие,App\Value,ru,Institutional development
38,Прочее,App\Value,ru,Other
39,Начальная школа,App\Value,ru,Primary school
40,Средняя школа,App\Value,ru,Secondary school
