translationable_id,text,translationable_type,lang,source
1,报告,App\Value,zh,Reporting
2,以个人名义,App\Value,zh,As an individual
3,代表某组织,App\Value,zh,On behalf of an organisation
4,其他,App\Value,zh,Other
5,行动类型,App\Value,zh,Type of Action
6,立法、标准、规则：例如，商定他方应遵守的新规则或标准，或改变规则或标准，新的法规、协议、政策、经济手段等，包括自愿承诺,App\Value,zh,"LEGISLATION, STANDARDS, RULES: e.g. agreeing new or changing rules or standards that others should comply with, new regulation, agreements, policies, economic instruments etc. including voluntary commitments."
7,提高人的认识和能力：鼓励或帮助他人（例如教育、培训、交流、提高认识、行为改变方案）,App\Value,zh,"WORKING WITH PEOPLE: Encouraging or enabling others (e.g., education, training, communication, awareness raising, behaviour change programmes"
8,技术和工艺：新技术开发/创新（例如研究与开发、新产品设计、新材料、工艺等），改变做法、操作方式、环境管理和规划,App\Value,zh,"TECHNOLOGY and PROCESSES: New technical developments/innovation (e.g., research and development, new product design, new materials, processes etc.) changes in practice, operations, environmental management and planning."
9,监测和分析：收集有关将塑料排放到海洋/水道的证据？（例如监测、分析）,App\Value,zh,"MONITORING and ANALYSIS: Collecting evidence around plastic discharge to the ocean/waterways? (e.g. monitoring, analysis)"
10,官方协定,App\Value,zh,Official agreements
11,政策变化或发展,App\Value,zh,Policy change or development
12,高级别战略,App\Value,zh,High-level strategy
13,立法或规章,App\Value,zh,Legislation or regulations
14,自愿承诺,App\Value,zh,Voluntary commitments
15,新标准或准则,App\Value,zh,New standard(s) or guideline(s)
16,改变税收/补贴,App\Value,zh,Change in Taxes/Subsidies
17,补贴/财政激励,App\Value,zh,Subsidy/financial incentives
18,禁令,App\Value,zh,Ban(s)
19,将激励和基础设施相结合的一揽子措施（例如押金奖励制度）,App\Value,zh,Package of measures combining incentives and infrastructure (e.g. deposit reward schemes)
20,其他,App\Value,zh,Other
21,提高认识和行为改变,App\Value,zh,Awareness raising and Behaviour change
22,教育/培训,App\Value,zh,Education/Training
23,讲习班,App\Value,zh,Workshops
24,会议,App\Value,zh,Conferences
25,其他,App\Value,zh,Other
26,宣传运动,App\Value,zh,Information campaign
27,行为改变运动/方案,App\Value,zh,Behaviour change campaign/programme
28,社区参与,App\Value,zh,Community Engagement
29,利益攸关方参与,App\Value,zh,Stakeholder Engagement
30,公众科学,App\Value,zh,Citizen Science
