translationable_id,text,translationable_type,lang,source
1,阿富汗,App\Country,zh,Afghanistan
2,安哥拉,App\Country,zh,Angola
3,阿尔巴尼亚,App\Country,zh,Albania
4,安道尔,App\Country,zh,Andorra
5,阿拉伯联合酋长国,App\Country,zh,United Arab Emirates
6,阿根廷,App\Country,zh,Argentina
7,亚美尼亚,App\Country,zh,Armenia
8,安提瓜和巴布达,App\Country,zh,Antigua and Barbuda
9,澳大利亚,App\Country,zh,Australia
10,奥地利,App\Country,zh,Austria
11,阿塞拜疆,App\Country,zh,Azerbaijan
12,布隆迪,App\Country,zh,Burundi
13,比利时,App\Country,zh,Belgium
14,贝宁,App\Country,zh,Benin
15,布基纳法索,App\Country,zh,Burkina Faso
16,孟加拉国,App\Country,zh,Bangladesh
17,保加利亚,App\Country,zh,Bulgaria
18,巴林,App\Country,zh,Bahrain
19,巴哈马,App\Country,zh,Bahamas
20,波斯尼亚和黑塞哥维那,App\Country,zh,Bosnia and Herzegovina
21,白俄罗斯,App\Country,zh,Belarus
22,伯利兹,App\Country,zh,Belize
23,玻利维亚,App\Country,zh,Bolivia
24,巴西,App\Country,zh,Brazil
25,巴巴多斯,App\Country,zh,Barbados
26,文莱达鲁萨兰国,App\Country,zh,Brunei Darussalam
27,不丹,App\Country,zh,Bhutan
28,博茨瓦纳,App\Country,zh,Botswana
29,中非共和国,App\Country,zh,Central African Republic
30,加拿大,App\Country,zh,Canada
31,瑞士,App\Country,zh,Switzerland
32,智利,App\Country,zh,Chile
33,中国,App\Country,zh,China
34,科特迪瓦,App\Country,zh,Côte d’Ivoire
35,喀麦隆,App\Country,zh,Cameroon
36,刚果民主共和国,App\Country,zh,Democratic Republic of the Congo
37,刚果,App\Country,zh,Congo
38,哥伦比亚,App\Country,zh,Colombia
39,科摩罗,App\Country,zh,Comoros
40,佛得角,App\Country,zh,Cape Verde
41,哥斯达黎加,App\Country,zh,Costa Rica
42,古巴,App\Country,zh,Cuba
43,塞浦路斯,App\Country,zh,Cyprus
44,捷克,App\Country,zh,Czechia
45,德国,App\Country,zh,Germany
46,吉布提,App\Country,zh,Djibouti
47,多米尼克,App\Country,zh,Dominica
48,丹麦,App\Country,zh,Denmark
49,多米尼加共和国,App\Country,zh,Dominican Republic
50,阿尔及利亚,App\Country,zh,Algeria
51,厄瓜多尔,App\Country,zh,Ecuador
52,埃及,App\Country,zh,Egypt
53,厄立特里亚,App\Country,zh,Eritrea
54,西班牙,App\Country,zh,Spain
55,爱沙尼亚,App\Country,zh,Estonia
56,埃塞俄比亚,App\Country,zh,Ethiopia
57,芬兰,App\Country,zh,Finland
58,斐济,App\Country,zh,Fiji
